역명코드,한글,한자,로마자,좌표
0153,춘천,春川,Chuncheon,"[37.884796, 127.71691]"
0154,옥산,玉山,Oksan,"[36.28292, 128.09442]"
0155,청리,靑里,Cheong-ri,"[36.33917, 128.12889]"
0156,상주,尙州,Sangju,"[36.410393, 128.16391]"
0157,함창,咸昌,Hamchang,"[36.56972, 128.17471]"
0158,점촌,店村,Jeomchon,"[36.595608, 128.20335]"
0159,용궁,龍宮,Yonggung,"[36.60417, 128.27722]"
0160,개포,開浦,Gaepo,"[36.626915, 128.32863]"
0161,승부,承富,Seungbu,"[36.992683, 129.0844]"
0162,예천,醴泉,Yecheon,"[36.647823, 128.44437]"
0165,임기,林基,Imgi,"[36.903854, 128.9994]"
0166,분천,汾川,Buncheon,"[36.932693, 129.05833]"
0167,백산,栢山,Baeksan,"[37.13834, 129.03403]"
0168,덕소,德沼,Deokso,"[37.58639, 127.20944]"
0169,용문,龍門,Yongmun,"[37.482216, 127.594574]"
0170,지평,砥平,Jipyeong,"[37.476295, 127.629425]"
0171,양동,楊東,Yangdong,"[37.420284, 127.7548]"
0175,봉양,鳳陽,Bongyang,"[37.129807, 128.13144]"
0186,남창,南倉,Namchang,"[35.417328, 129.28354]"
0187,기장,機張,Gijang,"[35.24139, 129.21806]"
0188,송정,松亭,Songjeong,"[35.180927, 129.19994]"
0189,동래,東萊,Dongnae,"[35.19757, 129.08975]"
0190,부전,釜田,Bujeon,"[35.164555, 129.06017]"
0191,효자,孝子,Hyoja,"[36.0075, 129.3336]"
0193,사방,士方,Sabang,"[35.93806, 129.2325]"
0194,입석리,立石里,Ipseok-ri,"[37.196857, 128.29764]"
0195,연당,淵堂,Yeondang,"[37.185104, 128.39627]"
0196,함백,咸白,Hambaek,"[37.21578, 128.69763]"
0197,자미원,紫味院,Jamiwon,"[37.236076, 128.73358]"
0198,별어곡,別於谷,Byeoreogok,"[37.26917, 128.73972]"
0199,선평,仙坪,Seonpyeong,"[37.32167, 128.7125]"
0200,정선,旌善,Jeongseon,"[37.388035, 128.67201]"
0201,나전,羅田,Najeon,"[37.44972, 128.66861]"
0202,아우라지,,Auraji,"[37.47278, 128.72194]"
0203,구절리,九切里,Gujeol-ri,"[37.51667, 128.72667]"
0204,일신,日新,Ilsin,"[37.44528, 127.68861]"
0205,득량,得粮,Deungnyang,"[34.7615, 127.1702]"
0206,어등,魚登,Eodeung,"[36.71528, 128.56]"
0207,도농,陶農,Donong,"[37.60826, 127.16128]"
0208,굴봉산,屈峰山,Gulbongsan,"[37.843, 127.55035]"
0209,덕하,德下,Deokha,"[35.4955, 129.30933]"
0210,화명,華明,Hwamyeong,"[35.23778, 129.00667]"
0213,삼탄,三灘,Samtan,"[37.07306, 128.03833]"
0214,원덕,元德,Wondeok,"[37.46333, 127.54556]"
0215,원동,院洞,Wondong,"[35.36265, 128.92027]"
0216,거제해맞이,巨堤해맞이,Geojehaemaji,"[35.182247, 129.0692]"
0217,월내,月內,Wollae,"[35.32167, 129.2739]"
0218,계룡,鷄龍,Gyeryong,"[36.272667, 127.265656]"
0219,개태사,開泰寺,Gaetaesa,"[36.24139, 127.22694]"
0220,연무대,鍊武臺,Yeonmudae,"[36.12444, 127.0875]"
0221,봉림,鳳林,Bongnim,"[36.09167, 128.7225]"
0222,북영천,北永川,Bugyeongcheon,"[35.96575, 128.91765]"
0223,신동,新洞,Sindong,"[35.95556, 128.48528]"
0224,물금,勿禁,Mulgeum,"[35.307148, 128.98537]"
0225,송탄,松炭,Songtan,"[37.075695, 127.05434]"
0226,직지사,直指寺,Jikjisa,"[36.125, 128.03972]"
0227,일광,日光,Ilgwang,"[35.26655, 129.23282]"
0229,몽탄,夢灘,Mongtan,"[34.92972, 126.50306]"
0230,약목,若木,Yangmok,"[36.03722, 128.36444]"
0231,화산,花山,Hwasan,"[36.0175, 128.85667]"
0232,서생,西生,Seosaeng,"[35.34472, 129.29222]"
0233,덕산,德山,Deoksan,"[35.28083, 128.68806]"
0234,중리,中里,Jung-ri,"[35.24972, 128.51917]"
0235,명봉,鳴鳳,Myeongbong,"[34.827587, 127.07608]"
0236,무안,務安,Muan,"[34.96235, 126.51717]"
0237,세천,細川,Secheon,"[36.33667, 127.49111]"
0238,하양,河陽,Hayang,"[35.91278, 128.82222]"
0239,금곡,金谷,Geumgok,"[37.63306, 127.20194]"
0240,고막원,古幕院,Gomagwon,"[35.02472, 126.60806]"
0241,괴목,槐木,Goemok,"[35.09528, 127.42667]"
0243,서정리,西井里,Seojeong-ri,"[37.057457, 127.053085]"
0245,심천,深川,Simcheon,"[36.23694, 127.72028]"
0246,김유정,金裕貞,Gimyujeong,"[37.81944, 127.71611]"
0247,달천,達川,Dalcheon,"[36.96056, 127.88]"
0248,성환,成歡,Seonghwan,"[36.91556, 127.12778]"
0249,매곡,梅谷,Maegok,"[37.43361, 127.73139]"
0250,삼산(중앙선),三山,Samsan,"[37.39222, 127.77972]"
0251,노량진,鷺梁津,Noryangjin,"[37.514168, 126.94292]"
0252,금천구청,衿川區廳,Geumcheon-gu Office,"[37.455254, 126.89422]"
0253,청소,靑所,Cheongso,"[36.44583, 126.59056]"
0255,사릉,思陵,Sareung,"[37.65028, 127.17889]"
0256,평내호평,坪內好坪,PyeongnaeHopyeong,"[37.65333, 127.24361]"
0257,상천,上泉,Sangcheon,"[37.76972, 127.45389]"
0258,백양리,白楊里,Baegyang-ri,"[37.82667, 127.6125]"
0259,공전,公田,Gongjeon,"[37.10083, 128.07806]"
0260,소이,蘇伊,Soi,"[36.9225, 127.75639]"
0261,백원,白元,Baegwon,"[36.48194, 128.175]"
0262,정동진,正東津,Jeongdongjin,"[37.691357, 129.03331]"
0263,신기,新基,Singi,"[37.34603, 129.08534]"
0264,의정부,議政府,Uijeongbu,"[37.73806, 127.04611]"
0265,신탄리,新炭里,Sintan-ri,"[38.212967, 127.13969]"
0266,다시,多侍,Dasi,"[35.01667, 126.64083]"
0268,죽림온천,竹林溫泉,Jungnimoncheon,"[35.73389, 127.23222]"
0269,양수,兩水,Yangsu,"[37.54556, 127.32917]"
0270,추암,湫岩,Chuam,"[37.478188, 129.15767]"
0272,상동,上東,Sangdong,"[35.55556, 128.76056]"
